Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[Read] Semantic Cache,22558,0,210,214.24591731088367,7.386700017377734,1396.8007999937981,169.71588793332742,381.8390142752619,0.0,210,230,250,260,300,330,370,410,950,1400,1400
POST,[Write] Intent-to-Verify,9695,0,190,193.23447286240207,6.3782999641261995,1358.3085999707691,470.0,164.10715681348807,0.0,190,210,230,230,260,280,300,350,950,1400,1400
,Aggregated,32253,0,200,207.9300411465558,6.3782999641261995,1396.8007999937981,259.9789476947881,545.94617108875,0.0,200,230,240,250,290,310,360,400,950,1400,1400
